"seller","operations","income"
Dirk Stringer,4192,4925137932
Michel DeFrance,4688,3260240834
Albert Ringer,4695,2700327941
Heather McBadden,4139,1873192319
Innes del Castillo,4674,1762202128
Abraham Bennet,9460,1617501170
Dean Straight,4195,1256032202
Livia Karsen,2564,1056902109
Sheryl Hunter,4686,1056767863
Michael O'Leary,5757,927500460
Burt Gringlesby,4676,785536586
Charlene Locksley,4682,711697410
Marjorie Green,6264,685256521
Johnson White,5171,652236479
Sylvia Panteley,3604,646982267
Reginald Blotchet-Halls,4169,632742092
Cheryl Carson,3659,511595867
Morningstar Greene,5190,457365511
Meander Smith,2051,385743569
Anne Ringer,2632,359973214
Ann Dull,4705,259201290
Stearns MacFeather,4147,192451852
